10.139.56.230/8,2020-10-19 13:01:27,2020-10-19 13:01:34,7,0
192.168.223.243/16,2020-10-19 13:01:05,2020-10-19 13:01:55,50,0
10.214.149.91/8,2020-10-19 13:03:16,2020-10-19 13:03:34,18,0
10.70.87.194/8,2020-10-19 13:05:22,2020-10-19 13:05:26,4,0
10.70.87.194/8,2020-10-19 13:05:51,2020-10-19 13:06:03,12,0
10.208.193.255/8,2020-10-19 13:07:12,2020-10-19 13:07:12,0,0
10.165.192.154/8,2020-10-19 13:08:01,2020-10-19 13:08:34,33,0
192.168.194.163/16,2020-10-19 13:06:49,2020-10-19 13:08:48,119,0
10.139.56.230/8,2020-10-19 13:08:03,2020-10-19 13:09:20,77,0
192.168.12.37/16,2020-10-19 13:10:55,2020-10-19 13:12:02,67,0
10.139.56.230/8,2020-10-19 13:10:23,2020-10-19 13:14:46,263,0
10.248.158.158/8,2020-10-19 13:15:04,2020-10-19 13:16:31,87,0
10.248.158.158/8,2020-10-19 13:20:29,2020-10-19 13:20:48,19,0
192.168.12.37/16,2020-10-19 13:23:46,2020-10-19 13:25:11,85,0
10.142.235.23/8,2020-10-19 13:28:07,2020-10-19 13:28:20,13,0
10.165.192.154/8,2020-10-19 13:31:11,2020-10-19 13:31:25,14,0
192.168.223.243/16,2020-10-19 13:38:00,2020-10-19 13:40:01,121,0
192.168.194.163/16,2020-10-19 13:41:11,2020-10-19 13:41:31,20,0
10.165.192.154/8,2020-10-19 13:42:10,2020-10-19 13:43:22,72,0
10.214.149.91/8,2020-10-19 13:45:37,2020-10-19 13:46:23,46,0
10.139.56.230/8,2020-10-19 13:46:52,2020-10-19 13:46:52,0,0
10.248.158.158/8,2020-10-19 13:44:47,2020-10-19 13:47:12,145,0
192.168.12.37/16,2020-10-19 13:46:22,2020-10-19 13:48:34,132,0
10.214.149.91/8,2020-10-19 13:49:31,2020-10-19 13:50:01,30,0
10.142.235.23/8,2020-10-19 13:48:34,2020-10-19 13:50:24,110,0
192.168.194.163/16,2020-10-19 13:48:52,2020-10-19 13:51:05,133,0
192.168.223.243/16,2020-10-19 13:51:09,2020-10-19 13:51:32,23,0
10.165.192.154/8,2020-10-19 13:48:47,2020-10-19 13:51:44,177,0
10.208.193.255/8,2020-10-19 13:52:33,2020-10-19 13:53:42,69,0
192.168.194.163/16,2020-10-19 13:51:58,2020-10-19 13:55:24,206,0
10.70.87.194/8,2020-10-19 13:53:05,2020-10-19 13:55:27,142,0
10.208.193.255/8,2020-10-19 13:55:59,2020-10-19 13:56:23,24,0
192.168.194.163/16,2020-10-19 13:56:40,2020-10-19 13:56:58,18,0
192.168.194.163/16,2020-10-19 14:03:17,2020-10-19 14:03:54,37,0
10.70.87.194/8,2020-10-19 14:04:39,2020-10-19 14:05:27,48,0
192.168.12.37/16,2020-10-19 14:06:50,2020-10-19 14:06:53,3,0
10.139.56.230/8,2020-10-19 14:06:48,2020-10-19 14:09:55,187,0
192.168.12.37/16,2020-10-19 14:13:06,2020-10-19 14:14:10,64,0
10.139.56.230/8,2020-10-19 14:14:06,2020-10-19 14:15:04,58,0
10.142.235.23/8,2020-10-19 14:15:57,2020-10-19 14:16:56,59,0
10.70.87.194/8,2020-10-19 14:17:01,2020-10-19 14:19:43,162,0
10.139.56.230/8,2020-10-19 14:16:36,2020-10-19 14:21:08,272,0
192.168.194.163/16,2020-10-19 14:20:55,2020-10-19 14:21:10,15,0
192.168.12.37/16,2020-10-19 14:24:29,2020-10-19 14:25:19,50,0
192.168.194.163/16,2020-10-19 14:28:26,2020-10-19 14:28:41,15,0
10.142.235.23/8,2020-10-19 14:30:29,2020-10-19 14:30:30,1,0
10.214.149.91/8,2020-10-19 14:34:54,2020-10-19 14:35:04,10,0
10.214.149.91/8,2020-10-19 14:37:14,2020-10-19 14:37:45,31,0
10.165.192.154/8,2020-10-19 14:42:21,2020-10-19 14:42:29,8,0
192.168.194.163/16,2020-10-19 14:43:09,2020-10-19 14:43:11,2,0
10.139.56.230/8,2020-10-19 14:46:58,2020-10-19 14:49:08,130,0
192.168.223.243/16,2020-10-19 14:50:09,2020-10-19 14:51:35,86,0
10.70.87.194/8,2020-10-19 14:53:59,2020-10-19 14:54:41,42,0
10.214.149.91/8,2020-10-19 14:52:54,2020-10-19 14:55:18,144,0
10.142.235.23/8,2020-10-19 14:54:57,2020-10-19 14:55:43,46,0
192.168.194.163/16,2020-10-19 14:56:03,2020-10-19 14:57:41,98,0
192.168.12.37/16,2020-10-19 14:57:58,2020-10-19 14:58:14,16,0
10.248.158.158/8,2020-10-19 14:58:41,2020-10-19 14:59:05,24,0
